"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.09";"66";"164";"64";"717";"1026";"1,3";"33";"26"
"02.09";"40";"105";"42";"524";"628";"0,8";"14";"9"
"03.09";"45";"118";"47";"516";"631";"0,7";"12";"9"
"04.09";"49";"134";"55";"544";"646";"1,0";"18";"12"
"05.09";"52";"133";"53";"577";"689";"1,1";"23";"20"
"06.09";"68";"179";"72";"733";"942";"1,3";"35";"27"
"07.09";"50";"136";"56";"578";"787";"1,0";"19";"11"
"08.09";"69";"216";"96";"772";"1135";"1,4";"26";"14"
"09.09";"68";"213";"94";"889";"1179";"1,6";"30";"21"
"10.09";"61";"166";"69";"843";"1237";"1,7";"28";"21"
"11.09";"68";"199";"86";"898";"1044";"1,6";"33";"23"
"12.09";"53";"165";"73";"711";"905";"1,1";"18";"15"
"13.09";"50";"141";"59";"580";"741";"0,9";"15";"8"
"14.09";"45";"111";"43";"508";"616";"0,6";"13";"5"
"15.09";"61";"209";"96";"757";"1039";"1,3";"18";"9"
"16.09";"54";"230";"115";"897";"1016";"1,9";"29";"22"
"17.09";"40";"139";"65";"718";"1008";"1,3";"25";"21"
"18.09";"60";"182";"80";"744";"943";"1,3";"23";"15"
"19.09";"60";"247";"122";"925";"1254";"2,0";"44";"33"
"20.09";"56";"174";"77";"699";"868";"1,1";"16";"13"
"21.09";"60";"177";"76";"753";"1058";"1,4";"21";"19"
"22.09";"56";"185";"84";"759";"897";"1,4";"30";"25"
"23.09";"39";"132";"61";"789";"949";"1,8";"27";"25"
"24.09";"42";"164";"80";"867";"976";"1,8";"26";"22"
"25.09";"50";"204";"101";"860";"1014";"1,6";"33";"25"
"26.09";"47";"249";"132";"1032";"1407";"2,6";"53";"39"
"27.09";"52";"161";"71";"763";"1294";"1,7";"45";"28"
"28.09";"59";"201";"92";"839";"1030";"1,8";"46";"29"
"29.09";"69";"317";"161";"1194";"-";"-";"73";"51"
"30.09";"57";"208";"98";"1188";"1669";"-";"71";"54"
"wartość średnia";"55";"178";"80";"771";"-";"1,4";"30";"22"
"minimum";"39";"105";"42";"508";"616";"0,6";"12";"5"
"maksimum";"69";"317";"161";"1194";"1669";"2,6";"73";"54"